severity,graphicId,displayName,usage,maps,impact,category,suggested,confidence,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason
"ERROR",1,"GRH 1 (sin textura)",33177,9,33402,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14290,"GRH 14290 (sin textura)",1150,5,1275,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14288,"GRH 14288 (sin textura)",1050,5,1175,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14289,"GRH 14289 (sin textura)",1040,5,1165,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14286,"GRH 14286 (sin textura)",985,5,1110,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14282,"GRH 14282 (sin textura)",950,5,1075,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14287,"GRH 14287 (sin textura)",920,5,1045,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14284,"GRH 14284 (sin textura)",905,5,1030,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14285,"GRH 14285 (sin textura)",900,5,1025,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
"ERROR",14281,"GRH 14281 (sin textura)",895,5,1020,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|HIGH_IMPACT_NO_PREVIEW|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS|HIGH_IMPACT_UNCLASSIFIED","No se pudo analizar el sprite."
