rank,category,name,uses,scenes,impact,key
1,Unclassified,"GRH_6007",341,1,366,"f484df4b3185b8442ae126e68460cc44:21300000"
2,Unclassified,"GRH_6004",340,1,365,"def2ba93b9c57684bb154d1f040293ac:21300000"
3,Unclassified,"GRH_6008",336,1,361,"ba52cd0423973f84dae71e5bdd447cd5:21300000"
4,Unclassified,"GRH_6000",331,1,356,"f637e5c5a79068546af642b4691b5454:21300000"
5,Unclassified,"GRH_6012",331,1,356,"80616325873cb424a9e48681bc25a4b1:21300000"
6,Unclassified,"GRH_6006",329,1,354,"2257725fb7881d248b2cc19acc4f8f89:21300000"
7,Unclassified,"GRH_6005",320,1,345,"9dc7681aad48fdd49b706739b0d3bd88:21300000"
8,Unclassified,"GRH_6002",319,1,344,"43fd43bcba7eade4aaadd65955c397a3:21300000"
9,Unclassified,"GRH_6003",319,1,344,"757aa61e731cea443b064fd582d4232f:21300000"
10,Unclassified,"GRH_6011",319,1,344,"2cb6f4f354cd93a4a948450f5e9cd4bc:21300000"
11,Unclassified,"GRH_6001",315,1,340,"a531da82a24ad1544b1840e84d28fd08:21300000"
12,Unclassified,"GRH_6010",309,1,334,"800f258bcc7e4e5409c3bb8242f1234f:21300000"
13,Unclassified,"GRH_6015",304,1,329,"12b5eecadedb53044bb10c6c7eb80b10:21300000"
14,Unclassified,"GRH_6009",299,1,324,"7a120c7c664a4df4cb3c002fbd7e6668:21300000"
15,Unclassified,"GRH_6014",297,1,322,"30b8e2a2240de4c4a8f38b483e7d617a:21300000"
16,Unclassified,"GRH_6013",294,1,319,"520a88a51fc0eda4985aad95115d3f7e:21300000"
17,Unclassified,"GRH_49556",158,1,183,"bb063bc95bc757947baba70b6143b524:21300000"
18,Unclassified,"GRH_49553",149,1,174,"5a5c8e8bbdba9244895f9ccbe338f1ed:21300000"
19,Unclassified,"GRH_49555",147,1,172,"144372e6cc9243143a9c50710f497c56:21300000"
20,Unclassified,"GRH_49552",144,1,169,"8637ebece8ee3ca428a4df955ef7a225:21300000"
21,Unclassified,"GRH_59613",132,1,157,"df334b0493dc4804696c7cee4cf03cb6:21300000"
22,Unclassified,"GRH_49554",113,1,138,"36ec8e07a27b631459cdd3e85b3288c6:21300000"
23,Unclassified,"GRH_49551",105,1,130,"e46e13302f9ec6049af31f86f3abee73:21300000"
24,Unclassified,"GRH_6333",65,1,90,"7cadf28d57e74de4797a90d2106a8f7f:21300000"
25,Unclassified,"GRH_6335",64,1,89,"7544003dfff445a48a4ff2d939a74f36:21300000"
26,Unclassified,"GRH_6332",63,1,88,"b9da18f93f09f184ebfb3062f822a239:21300000"
27,Unclassified,"GRH_6334",63,1,88,"b9e7c5dd6e3a9144bb1fcb53e3acd29e:21300000"
28,Unclassified,"GRH_6321",58,1,83,"16b35487add4f424ba7f5dc340144654:21300000"
29,Unclassified,"GRH_6323",56,1,81,"ffb8fe14a90f55240b5bf08c41b1de44:21300000"
30,Unclassified,"GRH_6325",56,1,81,"b978208960ed3df409b9817d1e9f63f0:21300000"
31,Unclassified,"GRH_6320",55,1,80,"d7c312339ad8dca49b644694d7ee43cb:21300000"
32,Unclassified,"GRH_6324",55,1,80,"29276f2ab222a3644bb05f9b043ddda6:21300000"
33,Unclassified,"GRH_6322",51,1,76,"5fb59d53c8197804fae3400ee2fbbdce:21300000"
34,Unclassified,"GRH_6327",50,1,75,"a9181ba0a0a696646a9cd9471e3bbc28:21300000"
35,Unclassified,"GRH_6326",49,1,74,"66ef27d627cb32447b465dfd557c7f97:21300000"
36,Unclassified,"GRH_6328",48,1,73,"b1c2f907481576444863e7d6427d7248:21300000"
37,Unclassified,"GRH_6329",48,1,73,"15dff49462a5646499f7bb304124f7dc:21300000"
38,Unclassified,"GRH_6378",48,1,73,"1092e77ae08f773449c7d3f2e72d9b29:21300000"
39,Unclassified,"GRH_6372",47,1,72,"b9ae5e182b4a3f04a8a51515f00d2a19:21300000"
40,Unclassified,"GRH_6376",47,1,72,"b8a296a6993200543995c64e8e15a249:21300000"
41,Unclassified,"GRH_6377",47,1,72,"ee3145c39248230449c0f44e02a0e92b:21300000"
42,Unclassified,"GRH_6331",45,1,70,"4573363098e8e7049bee0f04c7c43f1c:21300000"
43,Unclassified,"GRH_6373",45,1,70,"c131c6adf5b3b8348a6ebf43f2b44a6f:21300000"
44,Unclassified,"GRH_6330",44,1,69,"1d76a4fa1ee4ccc4c93c62533b0137d0:21300000"
45,Unclassified,"GRH_6374",44,1,69,"31c97d30d738c034fa5fa63ab1b21e1f:21300000"
46,Unclassified,"GRH_6381",42,1,67,"ac89dd021843496498f1640087df95c6:21300000"
47,Unclassified,"GRH_6382",42,1,67,"4f94e1313cf35234397289b3969eae15:21300000"
48,Unclassified,"GRH_6375",40,1,65,"fe16d307a705c6543be88d59fd523e90:21300000"
49,Unclassified,"GRH_6368",39,1,64,"61bebafc81974b749b0ec83ef8988e01:21300000"
50,Unclassified,"GRH_6380",39,1,64,"3304fe9f62e57424d93c6531bc9839fb:21300000"
51,Unclassified,"GRH_6369",38,1,63,"0497deded2133f84b8b6d757a0e416c3:21300000"
52,Unclassified,"GRH_6370",37,1,62,"dedce3018bdb1004683c8597d10c7897:21300000"
53,Unclassified,"GRH_61266",36,1,61,"8f5bb9ecfef6f3e41b3bb22984f6e8b1:21300000"
54,Unclassified,"GRH_61270",36,1,61,"9c43dba6daf3b044fa440e4fcdf48dba:21300000"
55,Unclassified,"GRH_61274",36,1,61,"e84c67e26119b9f4d90b1ecd48a75488:21300000"
56,Unclassified,"GRH_6379",36,1,61,"25d2b8011630c0e48943b525edf83a7a:21300000"
57,Unclassified,"GRH_61262",35,1,60,"153d16f39197b9c4eaf8490ab75bd973:21300000"
58,Unclassified,"GRH_8637",35,1,60,"657cad5583cc63c48888d13b9dcfa18b:21300000"
59,Unclassified,"GRH_8986",34,1,59,"0055c48c3629b224f86a69d20f8b36ba:21300000"
60,Unclassified,"GRH_6371",33,1,58,"5f44f4227150b0c409a3f6a19433edec:21300000"
61,Unclassified,"GRH_6383",33,1,58,"85ea465efd486844c838885784b67f24:21300000"
62,Unclassified,"GRH_61264",31,1,56,"6e9b7fecd728b1945a19155a1da1cb50:21300000"
63,Unclassified,"GRH_61265",31,1,56,"d0487e20c0a5e3e45837950bc8ac11ba:21300000"
64,Unclassified,"GRH_61268",31,1,56,"ff615b60f6f051041a5d9d19ec6f6c40:21300000"
65,Unclassified,"GRH_61269",31,1,56,"bf48f63ec36833849b4ee1cdeebbebbb:21300000"
66,Unclassified,"GRH_61272",31,1,56,"442c5a93c45d1c5469422d9f673a6d80:21300000"
67,Unclassified,"GRH_61273",31,1,56,"69d78d1491e84c14e83c94274c5c361e:21300000"
68,Unclassified,"GRH_61260",30,1,55,"369197c9448208d489dde428f485b957:21300000"
69,Unclassified,"GRH_61261",30,1,55,"e6c39816ad2647544aa09bfa4e74c61a:21300000"
70,Unclassified,"GRH_8987",26,1,51,"c30631d0ebb02df43985790a7276b5d3:21300000"
71,Unclassified,"GRH_61267",20,1,45,"1072dfd44853a944b94eb98866529bfa:21300000"
72,Unclassified,"GRH_61271",20,1,45,"2b519fe7302b43243a024ff5660886f8:21300000"
73,Unclassified,"GRH_61275",20,1,45,"671a7f57ffcbff74883a49e524d515f0:21300000"
74,Unclassified,"GRH_61263",19,1,44,"3c7e0f573fabcd84d97002c5c1f1cc3a:21300000"
75,Unclassified,"GRH_8988",19,1,44,"0f4ad163b2de5a04e9f4d87525c7a973:21300000"
76,Unclassified,"GRH_49558",18,1,43,"00b590ac4264da04a85a4e9d18c8c6a1:21300000"
77,Unclassified,"GRH_49557",17,1,42,"de6529325f540a54ca59fb6dfb25de74:21300000"
78,Unclassified,"GRH_49582",17,1,42,"3e5d8b71ea8c84240bb12e87c64e72cb:21300000"
79,Unclassified,"GRH_8989",17,1,42,"673f5ca9ad261c54d84e9dd0b58b9ec0:21300000"
80,Unclassified,"GRH_17047",16,1,41,"3668bcf0d599d5b4580c1fd8a1f824bc:21300000"
81,Unclassified,"GRH_6052",15,1,40,"6d943bff26e33ed45a5e1169de3926d3:21300000"
82,Unclassified,"GRH_6053",15,1,40,"f983bfb4c757362418a81c4498a179c9:21300000"
83,Unclassified,"GRH_6055",15,1,40,"2a9d4d253f0a4ab479556dc08a439f65:21300000"
84,Unclassified,"GRH_6059",15,1,40,"650ca10ac93b31444a171255ac72c349:21300000"
85,Unclassified,"GRH_16137",14,1,39,"3fe870e5e78f0d8468dca095060d772d:21300000"
86,Unclassified,"GRH_550",14,1,39,"c91cce6ab1ab1e74fa946ae698a6d378:21300000"
87,Unclassified,"GRH_6054",14,1,39,"28e9670ffdccd454792a46b13bf477c8:21300000"
88,Unclassified,"GRH_6048",13,1,38,"1af0ee469f804da47bd127cee14796f3:21300000"
89,Unclassified,"GRH_6049",13,1,38,"450f07905c110134fa86e61224f8dde4:21300000"
90,Unclassified,"GRH_6050",13,1,38,"20f90a51604c1b4459fc112c2462a022:21300000"
91,Unclassified,"GRH_6051",13,1,38,"fa85795b1c8d8e64caba8448bc05a79c:21300000"
92,Unclassified,"GRH_6057",13,1,38,"9cb72ae39bed76f4ba9b22da0aff5b49:21300000"
93,Unclassified,"GRH_6063",13,1,38,"840514f897cf49c449aec0fb09eb18b1:21300000"
94,Unclassified,"GRH_595",12,1,37,"d2e02c6093e63344692442beb38208b9:21300000"
95,Unclassified,"GRH_6056",12,1,37,"e8e033916de9ebb4e9f14ee1481030d7:21300000"
96,Unclassified,"GRH_6058",12,1,37,"c79e991ccbc5fda4498ef52e2e252763:21300000"
97,Unclassified,"GRH_17066",11,1,36,"8e9c64e81808ee849b10fe41019fb0fb:21300000"
