graphicId,category,semanticConfidence,visualCategory,visualConfidence,usage,maps,impact,priority,originalFileNum,sourceTexturePath,cropX,cropY,cropWidth,cropHeight,referencePng
6003,"Grass",0.970,"Grass",1.000,5729,13,6054,5872,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",96,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6003_reference.png"
6015,"Grass",0.970,"Grass",1.000,5679,13,6004,5824,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",96,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6015_reference.png"
6007,"Grass",0.970,"Grass",1.000,5671,13,5996,5816,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",96,32,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6007_reference.png"
6014,"Grass",0.970,"Grass",1.000,5667,13,5992,5812,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",64,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6014_reference.png"
6002,"Grass",0.970,"Grass",1.000,5663,13,5988,5808,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",64,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6002_reference.png"
6006,"Grass",0.970,"Grass",1.000,5595,13,5920,5742,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",64,32,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6006_reference.png"
6000,"Grass",0.970,"Grass",1.000,5586,13,5911,5734,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",0,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6000_reference.png"
6011,"Grass",0.970,"Grass",1.000,5572,13,5897,5720,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",96,64,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6011_reference.png"
6012,"Grass",0.970,"Grass",1.000,5547,13,5872,5696,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",0,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6012_reference.png"
6008,"Grass",0.970,"Grass",1.000,5515,13,5840,5665,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",0,64,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6008_reference.png"
6001,"Grass",0.970,"Grass",1.000,5498,13,5823,5648,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",32,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6001_reference.png"
6004,"Grass",0.970,"Grass",1.000,5497,13,5822,5647,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",0,32,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6004_reference.png"
6010,"Grass",0.970,"Grass",1.000,5445,13,5770,5597,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",64,64,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6010_reference.png"
6005,"Grass",0.970,"Grass",1.000,5428,13,5753,5580,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",32,32,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6005_reference.png"
6013,"Grass",0.970,"Grass",1.000,5414,13,5739,5567,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",32,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6013_reference.png"
6009,"Grass",0.970,"Grass",1.000,5287,13,5612,5444,6000,"Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",32,64,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6009_reference.png"
6333,"Grass",0.960,"Grass",1.000,816,13,1141,1095,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",160,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6333_reference.png"
6334,"Grass",0.953,"Grass",1.000,671,13,996,950,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",192,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6334_reference.png"
6332,"Grass",0.960,"Grass",1.000,392,12,692,664,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",128,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6332_reference.png"
6335,"Grass",0.960,"Grass",1.000,388,12,688,660,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",224,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6335_reference.png"
6323,"Grass",0.960,"Grass",1.000,354,12,654,628,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",224,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6323_reference.png"
6321,"Grass",0.960,"Grass",1.000,378,11,653,627,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",160,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6321_reference.png"
61266,"Grass",0.970,"Grass",1.000,362,11,637,618,5087,"Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",320,672,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_61266_reference.png"
6320,"Grass",0.960,"Grass",1.000,365,11,640,614,6215,"Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",128,0,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Grass/GRH_6320_reference.png"
14290,"Dirt",0.940,"Dirt",1.000,1150,5,1275,1198,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",96,576,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14290_reference.png"
49556,"Dirt",0.940,"Dirt",1.000,982,8,1182,1111,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",416,128,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49556_reference.png"
14288,"Dirt",0.940,"Dirt",1.000,1050,5,1175,1104,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",32,576,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14288_reference.png"
14289,"Dirt",0.940,"Dirt",1.000,1040,5,1165,1095,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",64,576,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14289_reference.png"
49555,"Dirt",0.940,"Dirt",1.000,957,8,1157,1088,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",384,128,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49555_reference.png"
49553,"Dirt",0.940,"Dirt",1.000,935,8,1135,1067,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",416,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49553_reference.png"
49552,"Dirt",0.940,"Dirt",1.000,920,8,1120,1053,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",384,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49552_reference.png"
14286,"Dirt",0.940,"Dirt",1.000,985,5,1110,1043,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",96,544,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14286_reference.png"
14282,"Dirt",0.940,"Dirt",1.000,950,5,1075,1010,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",96,512,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14282_reference.png"
14287,"Dirt",0.940,"Dirt",1.000,920,5,1045,982,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",0,576,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14287_reference.png"
14284,"Dirt",0.940,"Dirt",1.000,905,5,1030,968,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",32,544,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14284_reference.png"
14285,"Dirt",0.940,"Dirt",1.000,900,5,1025,964,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",64,544,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14285_reference.png"
14281,"Dirt",0.940,"Dirt",1.000,895,5,1020,959,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",64,512,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14281_reference.png"
14278,"Dirt",0.940,"Dirt",1.000,890,5,1015,954,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",96,480,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14278_reference.png"
14280,"Dirt",0.940,"Dirt",1.000,875,5,1000,940,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",32,512,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14280_reference.png"
14277,"Dirt",0.940,"Dirt",1.000,825,5,950,893,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",64,480,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14277_reference.png"
14276,"Dirt",0.940,"Dirt",1.000,795,5,920,865,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",32,480,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14276_reference.png"
14283,"Dirt",0.940,"Dirt",1.000,760,5,885,832,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",0,544,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14283_reference.png"
49554,"Dirt",0.940,"Dirt",1.000,680,8,880,827,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",352,128,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49554_reference.png"
14279,"Dirt",0.940,"Dirt",1.000,740,5,865,813,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",0,512,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14279_reference.png"
49551,"Dirt",0.940,"Dirt",1.000,643,8,843,792,5068,"Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",352,96,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_49551_reference.png"
14275,"Dirt",0.940,"Dirt",1.000,680,5,805,757,5082,"Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",0,480,32,32,"Assets/AOMigrator/TerrainHDPipelineData/HiggsPrep_v029/Dirt/GRH_14275_reference.png"
